year,make,model,description,price,location,img_url,ad_url
2016,Toyota,hiace,,31000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448963629_10232518605455567_2384990321938881149_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=iAqA2DcZwBAQ7kNvgFHBk0M&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDjM1YydoLOz3su98_aGxZMoB9WK75EDYUVzv5OIxKE5w&oe=66B8A79C,https://www.facebook.com/marketplace/item/399138129831932
2018,Toyota,hiace,,34500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453387902_503781518840024_2047090514518738507_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=uhGI6wDx0GMQ7kNvgH2E8PX&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC_kbQYe2QxLWelcdWDyhpMQ0ioLlwBnxQl-_UPspBgeQ&oe=66B8D349,https://www.facebook.com/marketplace/item/867128792117283
1997,Toyota,hiace,,9500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/454134014_812912194158249_3615307598015053694_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=mxWLg9-4ODMQ7kNvgGZJQqW&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCiJOuTmNN80LOtqjtBrdWL4boO-6XItxkzhM20ZwkmXg&oe=66B8AF26,https://www.facebook.com/marketplace/item/844328514328559
2006,Toyota,hiace,,9500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/444192845_8052355458128543_2996088442545002845_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ueEJXju9hSEQ7kNvgGMdot1&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCwZnLBbWJfwjtTgP1TRa6nWc1E1ueksPoz_ptpsET9nQ&oe=66B8BB10,https://www.facebook.com/marketplace/item/124723585292242
2007,Toyota,hiace,,15999,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453949252_873902057923222_8289724664111426161_n.jpg?stp=c15.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=0hbhTZgoM-gQ7kNvgEkpfY2&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAVRXB7_R_LMKkfkQcNqpecTVVAfIZE_0698Y1jg3oPUg&oe=66B8C389,https://www.facebook.com/marketplace/item/244615140225780
1989,Toyota,Hiace,Super Custom,2500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/454141455_461102210158734_7524599347308136287_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=CXEF1gaP7y4Q7kNvgEKebH_&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC4dHMDv5WNDW_fBML92pzwMrWYOltof0zlqFLxRhw_bA&oe=66B8B054,https://www.facebook.com/marketplace/item/804929118452191
2005,Toyota,hiace,,13500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450410387_10227659997820057_2217457829768062528_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=RtaiSngmbD8Q7kNvgHOyC8X&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA6gWo4-GTfdTWB36l7LgEM5rd24QXaeOGZDc_nUOGMNQ&oe=66B8C19D,https://www.facebook.com/marketplace/item/164255513658334
2002,Toyota,hiace,,8000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/442473513_10224371268972831_7146032999496318401_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=MhyMQuioKnAQ7kNvgFYAVv6&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDFG1wVE44XrGd4zqp9ejrb3QrVCTvP1WC-_xdep7K-7Q&oe=66B8D06B,https://www.facebook.com/marketplace/item/963879652138568
1995,Toyota,hiace,commutor,4500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453057427_398191752811352_6613941464856926563_n.jpg?stp=c158.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=MkVmPSXMGLIQ7kNvgGAgnxy&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBcYkKzlNhUAXX-QQRJdRSOgXgpM7NhwGBiurY_YVUV3Q&oe=66B8B3B7,https://www.facebook.com/marketplace/item/141605130908306
2009,Toyota,hiace,,9000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/442435255_1469309223977104_9156161858334303994_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=otrpqfXXf3UQ7kNvgH6GyFB&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBgkAC95c6pn8B27XNLkrB7kiu9smKliHWBAfCKMv5HMA&oe=66B8D60E,https://www.facebook.com/marketplace/item/402018349549619
