year,make,model,description, price ,mileage,location,ad_url,img_url
2007,Toyota,hiace,," $12,999 ",34,"Melbourne, VIC",https://www.facebook.com/marketplace/item/740039998339402,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/440856957_10211918008303555_1524453047930556427_n.jpg?stp=c0.132.1200.1200a_dst-jpg_s261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=g78TVS7uQ4EQ7kNvgH7Kptp&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCA_Y2Ym5EcFbETXIyGY3JOQgbTMJ3B2ZncgHSXKTVHbg&oe=66B8F859
2017,Toyota,hiace,"welcab, 36,000kms,like - new"," $42,000 ",36,"Melbourne, VIC",https://www.facebook.com/marketplace/item/3017753225034445,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449289714_10160609874493564_2545650891326365232_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=JnAoWpZ8qwoQ7kNvgGwWN4z&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDCswGYEnyE4BQaEQpFuweB7QIT1gJXffyKtH50VBtpCw&oe=66B8F09F
2018,Toyota,hiace,," $30,999 ",37,"Melbourne, VIC",https://www.facebook.com/marketplace/item/479633661658685,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450903538_10227408494090939_7779497475004360359_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ice7d0l0l4AQ7kNvgFE_OMZ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDxsbDs9brJoBg4-xX0J5KH_SuLFZ_lQil2MWduHiKtbA&oe=66B8CFAE
2021,Toyota,hiace,," $52,000 ",44,"Melbourne, VIC",https://www.facebook.com/marketplace/item/493499979681297,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445396319_1198435067982594_8276227343328323231_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=yn4yufl9uIsQ7kNvgEZdmCc&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCMTTKOJjjtvFF6ba4DxLl-HUDTjIV3IWWAcagZ3a7dcw&oe=66B8EDC2
2014,Toyota,hiace,," $24,500 ",46,"Deanside, VIC",https://www.facebook.com/marketplace/item/2645355308952985,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/429673804_2393823737494676_5229366552296775853_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=eGGEFmj-L1YQ7kNvgHLmg7G&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDwXuuBsv5IF-m23PCWyyn3R1XbmzmURzaZCSdfMutLTA&oe=66B8CB59
2018,Toyota,hiace,," $36,300 ",65,"Melbourne, VIC",https://www.facebook.com/marketplace/item/411349758554569,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445392851_364559236640379_4130979616975377380_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=KWNo8Z6S95kQ7kNvgHCsM_p&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC9IfpSNuR69v21OtywmIgeIhdzRZ9J2fLiYzQxt1uOiQ&oe=66B8CB8F
2018,Toyota,hiace,," $39,000 ",67,"Melbourne, VIC",https://www.facebook.com/marketplace/item/495940642970171,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450485242_501027662600359_1845289111524239989_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=advFPjUg6KwQ7kNvgEUR4aY&_nc_ht=scontent.fmel16-1.fna&oh=00_AYB-AmYgXEpaXtvWgs_R8cTdfhHLrLW_zXxSX5IXZ07RMw&oe=66B8C801
2021,Toyota,hiace,," $43,800 ",68,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1141999917250233,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/438095653_7438349072927355_6097879688053167261_n.jpg?stp=c203.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=_XK9rABudAMQ7kNvgFbQRgt&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBA38SwmxpC67WXMnAwrloXPbVa21VwUJO2qyRnFbq6qg&oe=66B8CBC7
2022,Toyota,hiace,," $45,000 ",69,"Bellbrae, VIC",https://www.facebook.com/marketplace/item/891414572821627,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/452472019_10232674677910519_4152263748995089255_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Sfs7rBWhzPYQ7kNvgGiLLeL&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC2uekmFdUEA9hn1dhtDdlO_4klQcWzUMrfPs8im4PmQw&oe=66B8D4E9
2018,Toyota,hiace,," $39,990 ",71,"Meadows, SA",https://www.facebook.com/marketplace/item/1091009508851150,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/420329228_2362392120637196_2474975228312043768_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=FHa0J_N9iN8Q7kNvgEwK5op&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC-aC_DvG7-bViOjVxVbONOW6TYlNFjSSoqWHX4WkwAyw&oe=66B8CEC2
