year,make,model,description, price ,mileage,location,ad_url,img_url
2018,Toyota,hiace,lwb 6.0 refrigerated - van," $34,880 ",166,"Melbourne, VIC",https://www.facebook.com/marketplace/item/778869307457483,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450692463_10228990101831169_7795739048822595382_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=hHw5yEFhyi0Q7kNvgGAMVX7&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCIx__4XfFoAH0ivXSHxM83jewjORPOBN-1WFFcoTHbGg&oe=66B8F857
2010,Toyota,hiace,highroof diesel," $23,995 ",168,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1459530275443507,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/452247662_477724695012099_886744882484114788_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=p8-98rKwMAUQ7kNvgGRd3fQ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAsJ0hUVoN1CBf6OBwSfnqzwEHX2QpMV86IIjkyHPDtMA&oe=66B8D7EF
2019,Toyota,hiace,," $30,990 ",168,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1005488951061319,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/451657565_1432364347469506_3408076587263550282_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=KS7JkKjcMwoQ7kNvgHQaIcs&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAkAyQ_46TlVX21TTxSUHMGTVzDaoXqbgcnCHjYNjBFJA&oe=66B8D00C
2021,Toyota,hiace,," $39,999 ",168,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1524638438400424,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445400448_2831909843629292_5793333741498061337_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=_XZekoY_eiAQ7kNvgFMFc6M&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA3LfEb3FWOPtRtv_KkViCcGKxH7LXrVdbrS10SP-cVWA&oe=66B8E783
2018,Toyota,hiace,," $26,990 ",169,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2221518784907376,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451640496_1202044907906272_6946512930795803758_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=G7iFEZssAHAQ7kNvgHrtMNV&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCUbO3KYPdCErantgEk5cp8DZRRJOctB4HV0QmE9zFmGg&oe=66B8DFB5
2018,Toyota,hiace,4wd diesel turbo," $31,499 ",170,"Melbourne, VIC",https://www.facebook.com/marketplace/item/825048719564195,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448765979_883684063801727_37643599953493932_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=gi3HccXBgLMQ7kNvgHPdAM3&_nc_ht=scontent.fmel16-1.fna&oh=00_AYACDMlWMEmHWGmTPzE6zSJVmbNMiN2h1du484PriSBm1Q&oe=66B8E9A1
2017,Toyota,hiace,," $31,900 ",170,"Melbourne, VIC",https://www.facebook.com/marketplace/item/357365194052794,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448813534_10224988057028721_1631679186062165157_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=bsYRwvJLQv8Q7kNvgHU0Doi&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA_j00l9Qp-jwu-0oVwiDxqGU4237V9vmOt8ipvz2kF4A&oe=66B8EA8D
2018,Toyota,hiace,," $28,499 ",171,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1535812693660662,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/429945012_122135355188049825_6805229183961196350_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=e9ftmIr4gtoQ7kNvgEYuaBp&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBOcqbZ1uccnszRa11D2XxrUPU77NjRsG_JHMI5o69E2Q&oe=66B8F6B6
2018,Toyota,hiace,," $37,000 ",171,"Melbourne, VIC",https://www.facebook.com/marketplace/item/943151197383650,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/429679429_10232354902837065_6393314418491567571_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=cVbnF9Bzv7sQ7kNvgGjPje8&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDwmcWNqpO_nhdKpJ9ZHKFFjc6T9wqM-3ZEaCRHAB1FYA&oe=66B8EA7F
2008,Toyota,hiace,," $19,995 ",172,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1517306532328917,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453606382_806892591600459_7827518387482372238_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=V8QiTPl4wuwQ7kNvgEaZrQX&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBfc8BStR5jfIX_R4wkPMV97YJwaFSNHI20rVFoJa5jUA&oe=66B8E387
2018,Toyota,hiace,," $27,500 ",172,"Melbourne, VIC",https://www.facebook.com/marketplace/item/826094782815767,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451950257_493561086563985_3835553633404016363_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=uCfvkufqeW8Q7kNvgG5L3n6&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAd0x-CC5JB5XyLCEv5fzHx5bugQpC4Ze_VDuvcSF4fbA&oe=66B8D657
1995,Toyota,hiace,," $14,500 ",173,"Wagga Wagga, NSW",https://www.facebook.com/marketplace/item/1721542875319557,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448300728_7884944278192589_7723220252122388233_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=tSCBNkkAKmkQ7kNvgGvP0zz&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAMlxN1HQmuhQNw64hoqdViJfzJk5c13TqYKFq1xhfQMg&oe=66B8EBB3
1998,Toyota,hiace,campervan 3.0dt," $27,990 ",173,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1348656722393836,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/434047593_746742587592614_261390754704952301_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=7KkPA9tSZ5EQ7kNvgGCMyga&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBsvvPFo5d4jRw8zqsDeo-cFgNBCbjjLwgtzWdsMlhUuQ&oe=66B8CD22
2019,Toyota,hiace,| diesel," $29,999 ",173,"Melbourne, VIC",https://www.facebook.com/marketplace/item/7289258767824938,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/417543219_814059947430806_5985799182629678748_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=OqBZW1mHExUQ7kNvgFnEbLe&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAXZguEfRNUgVysHH-5FlaHUSmrzW77AVFWIFP0OCcb1g&oe=66B8D24E
2013,Toyota,hiace,," $24,555 ",174,"Melbourne, VIC",https://www.facebook.com/marketplace/item/978125827285847,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449749298_10159993542111935_4793449159550928247_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=UJPWE-mrMekQ7kNvgFMvl6A&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDZmwQ3oFy1C9DnS46WV-IHqWfar2PGzfnhJnE_k3nGrg&oe=66B8C3F1
2017,Toyota,hiace,," $27,500 ",175,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1472483366978478,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/437134404_3648216058751035_7980991811670111159_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Nkm84tL96QYQ7kNvgG93A1O&_nc_ht=scontent.fmel16-1.fna&oh=00_AYD6r2UEiOo7c5BsFaOb_lYU0f1Vjc-Ja3AB3h4ERRl0pA&oe=66B8CC94
2010,Toyota,hiace,camper van," $25,990 ",177,"Melbourne, VIC",https://www.facebook.com/marketplace/item/789572726584756,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/441964594_785815243695596_590359000729100738_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=3IG-AC5ThQ4Q7kNvgFqQBFv&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA1lzr4X_p6vigj4ooQge0LniC1x8yWKXLjXD_UBlq9wQ&oe=66B8C823
2016,Toyota,hiace,," $27,990 ",178,"Melbourne, VIC",https://www.facebook.com/marketplace/item/954081119800786,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448561005_3839887889601968_9163155770582824938_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=qJCVSZfrxdMQ7kNvgG0Fhdy&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCfNkbm3sLnEQI-NfWfuRR1TKCeyVnKDxjaG-qtvedI3w&oe=66B8EDF0
2009,Toyota,hiace,super gl," $26,990 ",179,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2628311203996280,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453072184_337169522786235_3642736982878480941_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=Jdo1mmIKNqYQ7kNvgFd3DiJ&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBBFXCI8_5lb_xkZctY6xXzb8XPC7KYwA9PuT28hwnBrQ&oe=66B8C844
2006,Toyota,hiace,," $12,500 ",180,"Melbourne, VIC",https://www.facebook.com/marketplace/item/401471789444765,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/436185115_3623697704611556_4106553597427840654_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=RWQBnx6UTyUQ7kNvgEyhfJN&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDKZpBfdIduUfrdnp11Lk4_1HxicNQ5qPVxemtJpvFrNg&oe=66B8F46A
2015,Toyota,hiace,," $23,000 ",180,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1164457554597194,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445469652_10233036564439092_5744155293931809543_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=E4XtXJN2ErIQ7kNvgHGJQJR&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDQC9JGhZd3m7pkjobtcNEzZUBLQJ5k5O2wPSJxCmfhOg&oe=66B8F1E9
2018,Toyota,hiace,lwb van 3.0l," $24,990 ",180,"Launceston, TAS",https://www.facebook.com/marketplace/item/8159532067474998,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/450961337_1125321721866731_1922318614570102357_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=rmjulHkXkTIQ7kNvgGfpsW8&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDPsg0CUS16BVkuvBCbFcnPafv0ljVm_8YQHBnm5JmFAw&oe=66B8F06E
2007,Toyota,Hiace,," $25,000 ",180,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1939271319807995,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/422615557_1450179555903930_2584462491385619141_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=fSqVNqdtwlIQ7kNvgF06RKD&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA6Chz59jn6C7LTeCjp79W7JBhwTxJmMJcOchRxq41SsQ&oe=66B8E3C0
2010,Toyota,hiace,super gl," $27,990 ",180,"Melbourne, VIC",https://www.facebook.com/marketplace/item/887519349873351,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453117702_2903518576456213_750018607782292759_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=HUtvrvdGpPcQ7kNvgFujQ-_&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAnP0lrnn_k_I67IkcOFqfESPV9Wu7Igw3AKs32gHifuA&oe=66B8E2AD
2012,Toyota,hiace,commuter," $19,500 ",181,"Melbourne, VIC",https://www.facebook.com/marketplace/item/456523510290462,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/447864285_10161330416339738_8369288822299476501_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=s--17KuC0NsQ7kNvgGuL2BD&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBmyBrvy6LmP23myGYDMfD4dYREAcFQs9qaF4Tt6rEQmg&oe=66B8D145
2013,Toyota,hiace,," $21,700 ",183,"Melbourne, VIC",https://www.facebook.com/marketplace/item/440033285659652,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450864318_3186271088169948_5620169603117936870_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=hmPvV0uWLMIQ7kNvgHL5qnv&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAEUfijMOi1_aGvK1vdu-jC_5TEySIP46PI2rTgca8QNA&oe=66B8DCDD
2010,Toyota,hiace,," $22,000 ",183,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1181001793309874,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/433438979_1118787212703598_2589600950287461266_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=QCRxM8Fj0YMQ7kNvgHV2A0X&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDltH2X7zYtbi6xvagDmyCOZ5ROZc2C6keKGFSobYLQ0w&oe=66B8DDF1
2018,Toyota,hiace,(gdh201v) - excellent - condition," $26,700 ",184,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1505349590071044,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/448876809_1194275441884686_4680969225820340322_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=yEb859cHWqwQ7kNvgEaLFK6&_nc_ht=scontent.fmel16-1.fna&oh=00_AYASi4mSfiWnb_d4VDtF4Q1rpqtP6xuFRlrHwv5yXD0UYA&oe=66B8C549
2018,Toyota,hiace,dx (gdh201v)," $27,000 ",184,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1174584247189271,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/418643924_390565960651357_1292295056036762927_n.jpg?stp=c105.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=bTyhix7lKPIQ7kNvgGCSqTA&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAGYBMf9phVXDRcrsnLDmVebac2fLU8sOR_wUnFy-6eYQ&oe=66B8D4BA
2008,Toyota,hiace,," $18,250 ",185,"Melbourne, VIC",https://www.facebook.com/marketplace/item/717927913638857,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/440351766_10160464343062705_1788706220427543197_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=m9SHZuF8gwIQ7kNvgFAUrTv&_nc_ht=scontent.fmel16-1.fna&oh=00_AYD1JiiqWopB_0M78SdL-MqL0eWaQLK-X0ZF8Ifd7Qm73Q&oe=66B8E464
2010,Toyota,hiace,4x4 manual," $21,990 ",185,"Melbourne, VIC",https://www.facebook.com/marketplace/item/304807482666343,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/440942322_3808734419383982_7066943929031663462_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=ct1Hlx_RC9IQ7kNvgHfvucK&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBuv8twEbbsLP0hLX6H_siNXCHWlWYpjsREekBjYuObHA&oe=66B8D1F7
2010,Toyota,hiace,," $28,000 ",185,"Melbourne, VIC",https://www.facebook.com/marketplace/item/309223218814877,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/422625761_7206893729425831_5637732326647599879_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=mrm58aRljk4Q7kNvgEbursv&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBWwACpXDfLgw-rKXazlfyvlxlM88AtxWRdRc6rS9itpA&oe=66B8C3AA
2014,Toyota,hiace,," $30,000 ",185,"Melbourne, VIC",https://www.facebook.com/marketplace/item/976738303833757,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445228090_10163407009358998_7044414326318515247_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=y8VyDOcLzLQQ7kNvgGiENq1&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC8uu4qSAMuKgRO2tZQIdFwa2NYLJ_Xe1Ci3NZqfn2KTQ&oe=66B8E30E
2002,Toyota,hiace,slwb 4wd diesel," $33,900 ",185,"Melbourne, VIC",https://www.facebook.com/marketplace/item/491670256552240,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450547173_7791707307544808_3071546131917978125_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=1odYtZCe9_0Q7kNvgEwO-CI&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBzZ_VDvg9mDite541opYNpncR9u7YmY-nZ6rDAF6YT9A&oe=66B8E3E4
2020,Toyota,hiace,gl," $62,000 ",185,"Melbourne, VIC",https://www.facebook.com/marketplace/item/474387245252492,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445389255_7508862922543674_2285360059515852823_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=9G6Rmu3vc0IQ7kNvgFFowYe&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBNtleO0ILZ9tZ5xsJ6eyYd0OC8_4voUI7IpMo_3AEI8A&oe=66B8D0CD
2008,Toyota,hiace,- turbo diesel with rwc and - rego and 1 year warranty," $16,500 ",186,"Melbourne, VIC",https://www.facebook.com/marketplace/item/488581063856440,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/451400090_8255978147802097_2891638760244686393_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=F00A4xQH0nIQ7kNvgFhqKhz&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCgu3rucC5Not102jP8hqGuwqsmHWW1w9_BxQ9c0XAoHQ&oe=66B8C1E2
2015,Toyota,hiace,," $20,000 ",186,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2419990881532867,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/440160684_10231707975033045_6755924575454017342_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=imlccz4yrz0Q7kNvgGWPGlb&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAHHonXsWsl8ECKIX2BphTm3I-gP8SgFtok8LWZGXiFiQ&oe=66B8E234
2013,Toyota,hiace,," $28,600 ",186,"Melbourne, VIC",https://www.facebook.com/marketplace/item/303554389383112,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/424952995_910309447159514_6242248557058450256_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=M7Jr2vIDkokQ7kNvgGOlEFA&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBrDYdq1l25Yytz8KIaJRlJnneQB8yghBwL847Gq8U-lw&oe=66B8F562
2018,Toyota,hiace,turbo diesel," $24,780 ",187,"Melbourne, VIC",https://www.facebook.com/marketplace/item/899193388713976,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/450761131_1968711536918264_693795201855599674_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=t-S0Q9jJavQQ7kNvgGNzQFB&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBfoa_GxrE5AhSp7keamLH4uDVEB-qfPCXfYeNRxAlLVg&oe=66B8DC82
2013,Toyota,hiace,," $26,000 ",190,"Melbourne, VIC",https://www.facebook.com/marketplace/item/3315123748794277,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/420143368_6836911039750732_212406478754382436_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=MNjal-tAhZsQ7kNvgH5O_03&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDkAqakA9FFjn4mtFREw53wXtFCsB56zR2eRhJhI22G6g&oe=66B8D7F9
2010,Toyota,hiace,," $8,823 ",191,"Melbourne, VIC",https://www.facebook.com/marketplace/item/304179672789710,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450317202_1034445108112322_3021367480398818172_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=czFtmwyLhL0Q7kNvgFRg6gL&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA-KuW-LglHrVxPowPWDAfxLX1pk4Nmjb6U5dHKlih17Q&oe=66B8E6D4
2017,Toyota,hiace,," $26,000 ",191,"Melbourne, VIC",https://www.facebook.com/marketplace/item/504603435343241,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450227423_2624598771060282_6633990128156418206_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=VP33zc2DqYMQ7kNvgGe1j9h&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAMjJF98mypSVuwgKQrw437jXfpcObR5iu3tRIaz2L6kQ&oe=66B8EFD7
2018,Toyota,hiace,4wd turbo diesel," $26,990 ",191,"Melbourne, VIC",https://www.facebook.com/marketplace/item/471699385554752,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449655699_2788474231291900_8952375484957874764_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=946e27&_nc_ohc=Y43NwMODQ5UQ7kNvgE_nWEj&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAQ8m_OhcbtEs5o1tjtzRYq06PrxyjoSg15DCSGVaQf9Q&oe=66B8F5EA
2010,Toyota,hiace,," $35,000 ",191,"Melbourne, VIC",https://www.facebook.com/marketplace/item/3639292773024973,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/432159788_730121272601259_274106908235371874_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=c_RNSn0t5mMQ7kNvgGjqYY1&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCQmz7BuPizH-lsuJ4gBayoFScxGK6ab45WIabBDk7l2A&oe=66B8E0DB
2015,Toyota,hiace,," $22,000 ",193,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1683534145739476,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/447297698_2471244549727677_8822274699850889753_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Aw-1IekjCHYQ7kNvgERxb-M&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDpPp8x6e3bUP5D59NOaUtfhXJUdPWV-b50PT1pd85DQA&oe=66B8F170
2020,Toyota,hiace,," $34,999 ",194,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1026524395061471,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451867064_1025974195598291_6537351086006444387_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=IgnC9PbkGHoQ7kNvgFvSAga&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAkLJxn2CWERnMtAf16U3fAVOu3ZQ58kBQDXpRMLx8okw&oe=66B8EBEA
2020,Toyota,hiace,," $35,999 ",194,"Melbourne, VIC",https://www.facebook.com/marketplace/item/8288945144450798,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449093160_1011282757067435_770876860582573367_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Oj-DFQh2N9YQ7kNvgG3S1th&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBQ0RO0CM69O9A-VZ4qUo0H2xOMugDexsVeSBTNW7iP5Q&oe=66B8D6B5
2020,Toyota,hiace,," $35,999 ",194,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1237263684310910,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/442416979_996879231841121_7262375873838870153_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=nYi5NBvO7c4Q7kNvgHPrgJl&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDKK0SjCRCguQc4GoSQQv-CDujFrltFsIekOLpqQVLLWw&oe=66B8C947
